hour_start,trip_count
2015-12-01T00:00:00.000Z,8824
2015-12-01T01:00:00.000Z,5170
2015-12-01T02:00:00.000Z,3302
2015-12-01T03:00:00.000Z,2369
2015-12-01T04:00:00.000Z,2577
2015-12-01T05:00:00.000Z,4550
2015-12-01T06:00:00.000Z,12151
2015-12-01T07:00:00.000Z,21447
2015-12-01T08:00:00.000Z,24936
2015-12-01T09:00:00.000Z,23321
2015-12-01T10:00:00.000Z,20942
2015-12-01T11:00:00.000Z,20350
2015-12-01T12:00:00.000Z,20298
2015-12-01T13:00:00.000Z,20820
2015-12-01T14:00:00.000Z,22554
2015-12-01T15:00:00.000Z,21314
2015-12-01T16:00:00.000Z,17521
2015-12-01T17:00:00.000Z,21284
2015-12-01T18:00:00.000Z,26201
2015-12-01T19:00:00.000Z,27147
2015-12-01T20:00:00.000Z,26756
2015-12-01T21:00:00.000Z,26533
2015-12-01T22:00:00.000Z,23087
2015-12-01T23:00:00.000Z,14286
